appearance_id,class_name,start_frame,end_frame,duration_frames,avg_confidence
Arun_0,Arun,20,75,56,0.5917241379310345
Balkrishna Industries_0,Balkrishna Industries,2,75,74,0.6988888888888889
Balkrishna Industries_1,Balkrishna Industries,329,383,55,0.3719354838709677
Dream11_0,Dream11,16,42,27,0.345
Dream11_1,Dream11,73,75,3,0.26
Dream11_2,Dream11,337,360,24,0.3230769230769231
Jio_0,Jio,16,75,60,0.49
Kuhl_0,Kuhl,11,48,38,0.4076923076923077
Kuhl_1,Kuhl,64,75,12,0.4683333333333333
Kuhl_2,Kuhl,329,380,52,0.3912280701754386
TATA IPL_0,TATA IPL,1,165,165,0.7318181818181818
TATA IPL_1,TATA IPL,217,268,52,0.4196666666666667
TATA IPL_2,TATA IPL,287,405,119,0.559010989010989
philips_0,philips,2,75,74,0.6668932038834952
