appearance_id,class_name,start_frame,end_frame,duration_frames,avg_confidence,is_forecast,start_frame_lower,start_frame_upper,end_frame_lower,end_frame_upper,duration_frames_lower,duration_frames_upper,avg_confidence_lower,avg_confidence_upper
Arun_0,Arun,21.0,75.0,55.0,0.4175,0,,,,,,,,
Balkrishna Industries_0,Balkrishna Industries,2.0,75.0,74.0,0.6241509433962263,0,,,,,,,,
Balkrishna Industries_1,Balkrishna Industries,329.0,384.0,56.0,0.37375,0,,,,,,,,
Jio_0,Jio,134.0,134.0,1.0,0.26,0,,,,,,,,
TATA IPL_0,TATA IPL,1.0,166.0,166.0,0.6350660792951541,0,,,,,,,,
TATA IPL_1,TATA IPL,230.0,235.0,6.0,0.275,0,,,,,,,,
TATA IPL_2,TATA IPL,254.0,267.0,14.0,0.3299999999999999,0,,,,,,,,
TATA IPL_3,TATA IPL,291.0,291.0,1.0,0.38,0,,,,,,,,
TATA IPL_4,TATA IPL,313.0,405.0,93.0,0.54015625,0,,,,,,,,
philips_0,philips,2.0,75.0,74.0,0.568952380952381,0,,,,,,,,
10,,237.86667575972584,287.8000168864208,50.933330354960745,0.4623269875074061,1,-23.8687639091427,499.6021154285944,56.89860065976984,518.7014331130717,-51.05020719205994,152.91686790198145,0.18704535669339817,0.737608618321414
11,,252.44243583837027,301.8182031219597,50.37575347275602,0.4663027955571841,1,-9.293003830498265,514.1778755072388,70.91678689530875,532.7196193486106,-51.60778407426467,152.35929101977672,0.1910211647431762,0.741584426371192
12,,267.01819591701474,315.83638935749855,49.81817659055129,0.47027860360696216,1,5.2827562481462,528.7536355858833,84.9349731308476,546.7378055841496,-52.1653609564694,151.801714137572,0.19499697279295425,0.7455602344209701
13,,281.59395599565914,329.85457559303745,49.26059970834656,0.4742544116567402,1,19.858516326790607,543.3293956645277,98.9531593663865,560.7559918196885,-52.72293783867413,151.24413725536726,0.1989727808427323,0.7495360424707481
14,,296.1697160743036,343.87276182857636,48.70302282614183,0.47823021970651824,1,34.43427640543507,557.9051557431721,112.9713456019254,574.7741780552274,-53.280514720878855,150.68656037316254,0.20294858889251033,0.7535118505205262
15,,310.7454761529481,357.89094806411526,48.145445943937105,0.4822060277562963,1,49.010036484079535,572.4809158218166,126.98953183746431,588.7923642907663,-53.83809160308358,150.1289834909578,0.20692439694228837,0.7574876585703042
16,,325.3212362315925,371.90913429965417,47.58786906173238,0.4861818358060743,1,63.58579656272394,587.056675900461,141.00771807300322,602.8105505263052,-54.39566848528831,149.57140660875308,0.2109002049920664,0.7614634666200822
17,,339.89699631023694,385.9273205351931,47.03029217952765,0.49015764385585237,1,78.1615566413684,601.6324359791055,155.02590430854212,616.8287367618441,-54.95324536749304,149.01382972654835,0.21487601304184445,0.7654392746698603
18,,354.4727563888814,399.9455067707319,46.47271529732292,0.4941334519056304,1,92.73731672001287,616.20819605775,169.04409054408097,630.8469229973829,-55.51082224969777,148.45625284434362,0.2188518210916225,0.7694150827196383
19,,369.0485164675258,413.96369300627083,45.9151384151182,0.49810925995540845,1,107.31307679865728,630.7839561363944,183.06227677961988,644.8651092329218,-56.06839913190249,147.8986759621389,0.22282762914140053,0.7733908907694164
